split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
7,Random Forest,Stage 1 + Stage 2,1.0,60,0.9666666666666667,0.9994444444444444,0.967741935483871,0.9375,1.0,0.9333333333333333,28,2,0,30
7,Random Forest,Cascade,0.3,18,0.9666666666666667,0.9938888888888889,0.967741935483871,0.9375,1.0,0.9333333333333333,28,2,0,30
7,XGBoost,Stage 1 only,0.0,0,0.8833333333333333,0.95,0.8923076923076924,0.8285714285714286,0.9666666666666667,0.8,24,6,1,29
7,XGBoost,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9722222222222223,0.9354838709677419,0.90625,0.9666666666666667,0.9,27,3,1,29
7,XGBoost,Cascade,0.11666666666666667,7,0.9,0.9655555555555555,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
8,Logistic Regression,Stage 1 only,0.0,0,0.95,0.9855555555555556,0.9508196721311475,0.9354838709677419,0.9666666666666667,0.9333333333333333,28,2,1,29
8,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.95,0.9788888888888888,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.9666666666666667,29,1,2,28
8,Logistic Regression,Cascade,0.18333333333333332,11,0.95,0.9722222222222222,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.9666666666666667,29,1,2,28
8,Random Forest,Stage 1 only,0.0,0,0.8833333333333333,0.9772222222222222,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
8,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9861111111111112,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
8,Random Forest,Cascade,0.35,21,0.95,0.9888888888888889,0.9508196721311475,0.9354838709677419,0.9666666666666667,0.9333333333333333,28,2,1,29
8,XGBoost,Stage 1 only,0.0,0,0.8666666666666667,0.95,0.8518518518518519,0.9583333333333334,0.7666666666666667,0.9666666666666667,29,1,7,23
8,XGBoost,Stage 1 + Stage 2,1.0,60,0.95,0.9788888888888889,0.9473684210526315,1.0,0.9,1.0,30,0,3,27
8,XGBoost,Cascade,0.18333333333333332,11,0.9166666666666666,0.9577777777777778,0.9090909090909091,1.0,0.8333333333333334,1.0,30,0,5,25
9,Logistic Regression,Stage 1 only,0.0,0,0.95,0.9688888888888889,0.9473684210526315,1.0,0.9,1.0,30,0,3,27
9,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.95,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
9,Logistic Regression,Cascade,0.2,12,0.9166666666666666,0.9755555555555556,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
9,Random Forest,Stage 1 only,0.0,0,0.9,0.9738888888888889,0.9,0.9,0.9,0.9,27,3,3,27
9,Random Forest,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9727777777777779,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
9,Random Forest,Cascade,0.4166666666666667,25,0.9166666666666666,0.976111111111111,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
9,XGBoost,Stage 1 only,0.0,0,0.8166666666666667,0.9377777777777777,0.8,0.88,0.7333333333333333,0.9,27,3,8,22
9,XGBoost,Stage 1 + Stage 2,1.0,60,0.85,0.9188888888888889,0.8301886792452831,0.9565217391304348,0.7333333333333333,0.9666666666666667,29,1,8,22
9,XGBoost,Cascade,0.21666666666666667,13,0.8666666666666667,0.9600000000000001,0.8518518518518519,0.9583333333333334,0.7666666666666667,0.9666666666666667,29,1,7,23
10,Logistic Regression,Stage 1 only,0.0,0,0.8833333333333333,0.9366666666666666,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
10,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.8666666666666667,0.94,0.8620689655172413,0.8928571428571429,0.8333333333333334,0.9,27,3,5,25
10,Logistic Regression,Cascade,0.13333333333333333,8,0.8833333333333333,0.9355555555555556,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
10,Random Forest,Stage 1 only,0.0,0,0.8833333333333333,0.9405555555555556,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
10,Random Forest,Stage 1 + Stage 2,1.0,60,0.8333333333333334,0.9416666666666668,0.8275862068965517,0.8571428571428571,0.8,0.8666666666666667,26,4,6,24
10,Random Forest,Cascade,0.38333333333333336,23,0.8333333333333334,0.9261111111111111,0.8275862068965517,0.8571428571428571,0.8,0.8666666666666667,26,4,6,24
10,XGBoost,Stage 1 only,0.0,0,0.8333333333333334,0.8977777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,25,5,5,25
