scenario,model,configuration,threshold_low,threshold_high,n_splits,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,stage2_usage_mean,stage2_usage_std,n_stage2_mean,n_stage2_std
strong,Random Forest,Cascade,0.2,0.8,30,0.9666666666666667,0.0190783823824113,0.9982222222222222,0.0023407108328593216,0.9675131623650366,0.018254301856739694,0.9521705750001488,0.035947091152215976,0.9844444444444445,0.01904488212411218,0.948888888888889,0.0398592671152904,0.30666666666666664,0.06646521286412012,18.4,3.987912771847206
strong,Random Forest,Cascade,0.3,0.7,30,0.9672222222222222,0.01881719547292202,0.9984444444444445,0.002065343786225499,0.9680251951351339,0.018029257623747283,0.9531175446971184,0.03513818686794886,0.9844444444444445,0.01904488212411218,0.95,0.038902570116713685,0.15,0.04266055990780605,9.0,2.5596335944683632
strong,Random Forest,Cascade,0.4,0.6,30,0.9688888888888889,0.021322794331649735,0.998537037037037,0.001819220809474615,0.9698053913275771,0.02033197965854026,0.9524021243647627,0.037498046989108906,0.9888888888888889,0.018222409119684455,0.948888888888889,0.041737487705286166,0.07222222222222222,0.025646182799969486,4.333333333333333,1.5387709679981691
strong,Random Forest,Stage 1 + Stage 2,,,30,0.9666666666666667,0.0190783823824113,0.9981851851851852,0.0024014564428043814,0.9675131623650366,0.018254301856739694,0.9521705750001488,0.035947091152215976,0.9844444444444445,0.01904488212411218,0.948888888888889,0.0398592671152904,1.0,0.0,60.0,0.0
strong,Random Forest,Stage 1 only,,,30,0.9638888888888888,0.020568236742791894,0.9982037037037037,0.002196611681808677,0.9650306379221573,0.0197114743802655,0.942101973242865,0.034273250696473925,0.99,0.01986544777561459,0.9377777777777777,0.037888051810395715,0.0,0.0,0.0,0.0
strong,XGBoost,Cascade,0.2,0.8,30,0.9388888888888889,0.024105981409580264,0.9918888888888889,0.006149478998583734,0.9409969378644817,0.023328779673505072,0.9116599150193667,0.03253556674968356,0.9733333333333333,0.030825177548251457,0.9044444444444444,0.0378880518103957,0.10111111111111111,0.03388433484883757,6.066666666666666,2.033060090930254
strong,XGBoost,Cascade,0.3,0.7,30,0.9394444444444444,0.023765832929119348,0.9912962962962963,0.006673580918528371,0.9417027294165432,0.022920514795187013,0.9099627691016408,0.031687367780020494,0.9766666666666667,0.029230226312298727,0.9022222222222223,0.03707022778450235,0.06222222222222222,0.03214351597776005,3.7333333333333334,1.9286109586656035
strong,XGBoost,Cascade,0.4,0.6,30,0.9383333333333332,0.02594940553287451,0.9915185185185185,0.006858562176153688,0.9407647792123318,0.02465418335558985,0.9095880713241916,0.03854290898905054,0.9755555555555555,0.030239571310657857,0.9011111111111112,0.04589120345206058,0.02611111111111111,0.023441184789099942,1.5666666666666667,1.4064710873459965
strong,XGBoost,Stage 1 + Stage 2,,,30,0.9394444444444444,0.024558684636193876,0.9898888888888889,0.007809731842495086,0.9414993419262079,0.023824835262235503,0.9124197299171126,0.03157618195469547,0.9733333333333333,0.029556102895862364,0.9055555555555556,0.0361810404546087,1.0,0.0,60.0,0.0
strong,XGBoost,Stage 1 only,,,30,0.9405555555555555,0.027222417702011403,0.9927407407407408,0.005899205402354491,0.9428363489302166,0.025794623563025174,0.9139467315218968,0.04254283246013692,0.9755555555555555,0.03382775089366166,0.9055555555555556,0.051849571195966705,0.0,0.0,0.0,0.0
weak,Logistic Regression,Cascade,0.2,0.8,30,0.7238888888888888,0.04887299462982443,0.7981111111111112,0.035159612942840215,0.722831901783998,0.050086877799062596,0.7270460052063794,0.054278309632110666,0.7222222222222222,0.06966440261037216,0.7255555555555555,0.07254716174244022,0.7716666666666666,0.061143321361588114,46.3,3.668599281695287
weak,Logistic Regression,Cascade,0.3,0.7,30,0.7088888888888889,0.05061562260405799,0.7615185185185186,0.045654488716914104,0.709095549553028,0.0525699704475541,0.7107986760270336,0.05813402825426618,0.7122222222222222,0.07503936812658946,0.7055555555555556,0.08262148066748973,0.5111111111111112,0.07509040953468588,30.666666666666668,4.505424572081153
weak,Logistic Regression,Cascade,0.4,0.6,30,0.6583333333333333,0.05549326009263479,0.7132222222222223,0.054892091984657575,0.66078756796,0.05548887023988482,0.6594031182521493,0.06255053196022946,0.6677777777777777,0.07755029678402213,0.6488888888888888,0.09578605363788507,0.2544444444444444,0.05430390806998196,15.266666666666667,3.258234484198918
weak,Logistic Regression,Stage 1 + Stage 2,,,30,0.7327777777777779,0.053333931988977304,0.8197777777777778,0.03398519698786457,0.7323888216176326,0.05590355797405308,0.734462356445265,0.057657837171317894,0.7344444444444443,0.07705465708702813,0.7311111111111112,0.07678069148509774,1.0,0.0,60.0,0.0
weak,Logistic Regression,Stage 1 only,,,30,0.6022222222222222,0.04769260875394994,0.6524814814814816,0.04744173306323985,0.6089941309167562,0.05009935845185176,0.6014785737197941,0.05158539075359127,0.6233333333333333,0.0812498157970208,0.5811111111111111,0.09536513147584315,0.0,0.0,0.0,0.0
weak,Random Forest,Cascade,0.2,0.8,30,0.8783333333333334,0.03639660208973031,0.9437222222222222,0.027931814288868883,0.8851524819389146,0.03501107933096889,0.8395139462185514,0.04364791492716042,0.9388888888888889,0.054725601350440224,0.8177777777777778,0.05722398911083834,0.6722222222222223,0.07648070065994102,40.333333333333336,4.588842039596462
weak,Random Forest,Cascade,0.3,0.7,30,0.8816666666666666,0.03226744085705589,0.9438703703703705,0.029755454023292195,0.8901727408547787,0.02978105761141919,0.8331662860999121,0.04175588415915421,0.9577777777777778,0.04282489816610685,0.8055555555555556,0.055421293702490645,0.3433333333333334,0.09413856258471999,20.6,5.6483137550831986
weak,Random Forest,Cascade,0.4,0.6,30,0.8777777777777778,0.030429030972509194,0.9375925925925925,0.031390146224210186,0.8885113432847321,0.02631922186131755,0.8203748671352661,0.039853837872722564,0.9711111111111111,0.035808487332005305,0.7844444444444445,0.058547772244024694,0.1388888888888889,0.06347735188071407,8.333333333333334,3.808641112842844
weak,Random Forest,Stage 1 + Stage 2,,,30,0.8777777777777778,0.038240350329970516,0.9498703703703704,0.02396192316748572,0.8842864985533259,0.03757621718746519,0.8398815552068499,0.043479440559989674,0.9366666666666668,0.05959634332684374,0.8188888888888889,0.056516591896914686,1.0,0.0,60.0,0.0
weak,Random Forest,Stage 1 only,,,30,0.8711111111111111,0.030617318282297166,0.9344814814814816,0.03160019686922811,0.88324584113166,0.025763624042954732,0.8117018115702326,0.04225477102726353,0.9711111111111111,0.03472203065081252,0.7711111111111111,0.06416772402970192,0.0,0.0,0.0,0.0
weak,XGBoost,Cascade,0.2,0.8,30,0.8772222222222222,0.029518269339114334,0.9403703703703704,0.027805095124558834,0.8845540815392011,0.02677032738173837,0.8380677383484424,0.04158090548631314,0.9388888888888889,0.04019429186264784,0.8155555555555556,0.05722398911083837,0.28833333333333333,0.05971676443029201,17.3,3.58300586581752
